keyword,dict_type,category,subcategory,standard_sector,official_name,product_type,asset_class,market,country,currency,blue_chips,yahoo_ticker,market_bm,ind_bm,priority,note,updated_at
SIEGY,6.해외주식지정,산업재,로봇·자동화,산업재 / 로봇·자동화,지멘스 AG ADR,개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],SIE.DE,SPY,BOTZ,100,글로벌 대표 ADR/해외주식 (지멘스 AG ADR),2026-08-26T08:50:42.077439
SBGSY,6.해외주식지정,산업재,로봇·자동화,산업재 / 로봇·자동화,슈나이더 일렉트릭 ADR,개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],SU.PA,SPY,BOTZ,100,글로벌 대표 ADR/해외주식 (슈나이더 일렉트릭 ADR),2026-08-26T08:50:42.077439
ABBNY,6.해외주식지정,산업재,전력기기·자동화,산업재 / 전력기기·자동화,ABB Ltd ADR,개별기업주식,글로벌성장주,GLOBAL,유럽,USD,[],ABBN.SW,SPY,XLI,100,글로벌 대표 ADR/해외주식 (ABB Ltd ADR),2026-08-26T08:50:42.077439
2454,6.해외주식지정,전기전자,AI반도체,전기전자 / AI반도체,대만 미디어텍(MediaTek),개별기업주식,글로벌성장주,GLOBAL,글로벌,USD,[],2454.TW,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (대만 미디어텍(MediaTek)),2026-08-26T08:50:42.077439
6525.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,고쿠사이일렉트릭,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6525.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (고쿠사이일렉트릭),2026-08-26T08:50:42.077439
6758.T,6.해외주식지정,IT,빅테크디바이스,IT / 빅테크디바이스,소니,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6758.T,QQQ,XLK,100,글로벌 대표 ADR/해외주식 (소니),2026-08-26T08:50:42.077439
6954.T,6.해외주식지정,산업재,로봇·자동화,산업재 / 로봇·자동화,화낙,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6954.T,QQQ,BOTZ,100,글로벌 대표 ADR/해외주식 (화낙),2026-08-26T08:50:42.077439
6871.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,일본마이크로닉스,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6871.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (일본마이크로닉스),2026-08-26T08:50:42.077439
6656.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,인스펙,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6656.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (인스펙),2026-08-26T08:50:42.077439
6981.T,6.해외주식지정,IT,전자부품·소재,IT / 전자부품·소재,무라타 제작,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6981.T,QQQ,XLK,100,글로벌 대표 ADR/해외주식 (무라타 제작),2026-08-26T08:50:42.077439
7203.T,6.해외주식지정,자유소비재,전기차완성차,자유소비재 / 전기차완성차,토요타 자동차,개별기업주식,글로벌성장주,TSE,일본,JPY,[],7203.T,SPY,XLY,100,글로벌 대표 ADR/해외주식 (토요타 자동차),2026-08-26T08:50:42.077439
8035.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,도쿄일렉트론,개별기업주식,글로벌성장주,TSE,일본,JPY,[],8035.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (도쿄일렉트론),2026-08-26T08:50:42.077439
6857.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,아드반테스트,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6857.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (아드반테스트),2026-08-26T08:50:42.077439
6920.T,6.해외주식지정,IT,반도체소부장,IT / 반도체소부장,레이저텍,개별기업주식,글로벌성장주,TSE,일본,JPY,[],6920.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (레이저텍),2026-08-26T08:50:42.077439
4062.T,6.해외주식지정,IT,전자부품·소재,IT / 전자부품·소재,이비덴,개별기업주식,글로벌성장주,TSE,일본,JPY,[],4062.T,QQQ,XLK,100,글로벌 대표 ADR/해외주식 (이비덴),2026-08-26T08:50:42.077439
285A.T,6.해외주식지정,IT,AI반도체,IT / AI반도체,키옥시아,개별기업주식,글로벌성장주,TSE,일본,JPY,[],285A.T,QQQ,SOXX,100,글로벌 대표 ADR/해외주식 (키옥시아),2026-08-26T08:50:42.077439
SPY,5.글로벌ETF,ETF,S&P500,ETF / S&P500,,지수추종패시,글로벌성장주,ETF(US),미국,USD,[],,SPY,SPY,80,글로벌 대표 ETF (S&P500),2026-08-26T08:50:42.077439
QQQ,5.글로벌ETF,ETF,나스닥100,ETF / 나스닥100,,지수추종패시,글로벌성장주,ETF(US),미국,USD,[],,QQQ,QQQ,80,글로벌 대표 ETF (나스닥100),2026-08-26T08:50:42.077439
DIA,5.글로벌ETF,ETF,다우존스30,ETF / 다우존스30,,지수추종패시,글로벌성장주,ETF(US),미국,USD,[],,DIA,DIA,80,글로벌 대표 ETF (다우존스30),2026-08-26T08:50:42.077439
SOXX,5.글로벌ETF,ETF,미국반도체,ETF / 미국반도체,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,QQQ,SOXX,80,글로벌 대표 ETF (미국반도체),2026-08-26T08:50:42.077439
XLK,5.글로벌ETF,ETF,미국테크,ETF / 미국테크,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,QQQ,XLK,80,글로벌 대표 ETF (미국테크),2026-08-26T08:50:42.077439
XLF,5.글로벌ETF,ETF,미국금융,ETF / 미국금융,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,SPY,XLF,80,글로벌 대표 ETF (미국금융),2026-08-26T08:50:42.077439
XLE,5.글로벌ETF,ETF,미국에너지,ETF / 미국에너지,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,SPY,XLE,80,글로벌 대표 ETF (미국에너지),2026-08-26T08:50:42.077439
XLV,5.글로벌ETF,ETF,미국헬스케어,ETF / 미국헬스케어,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,SPY,XLV,80,글로벌 대표 ETF (미국헬스케어),2026-08-26T08:50:42.077439
XLI,5.글로벌ETF,ETF,미국산업재,ETF / 미국산업재,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,SPY,XLI,80,글로벌 대표 ETF (미국산업재),2026-08-26T08:50:42.077439
SCHD,5.글로벌ETF,ETF,미국배당다우존스,ETF / 미국배당다우존스,,배당인컴상품,한미배당성장,ETF(US),미국,USD,[],,SPY,SCHD,80,글로벌 대표 ETF (미국배당다우존스),2026-08-26T08:50:42.077439
TLT,5.글로벌ETF,ETF,미국장기국채20년,ETF / 미국장기국채20년,,채권금리상품,미국장기국채,ETF(US),미국,USD,[],,SPY,TLT,80,글로벌 대표 ETF (미국장기국채20년),2026-08-26T08:50:42.077439
BOTZ,5.글로벌ETF,ETF,글로벌로봇AI,ETF / 글로벌로봇AI,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,QQQ,BOTZ,80,글로벌 대표 ETF (글로벌로봇AI),2026-08-26T08:50:42.077439
LIT,5.글로벌ETF,ETF,글로벌2차전지,ETF / 글로벌2차전지,,섹터테마알파,글로벌성장주,ETF(US),미국,USD,[],,SPY,LIT,80,글로벌 대표 ETF (글로벌2차전지),2026-08-26T08:50:42.077439
069500,5.글로벌ETF,ETF,KOSPI 200,ETF / KOSPI 200,,지수추종패시,국내주식밸류,ETF(KR),한국,KRW,[],,069500,069500,80,글로벌 대표 ETF (KOSPI 200),2026-08-26T08:50:42.077439
229200,5.글로벌ETF,ETF,KOSDAQ 150,ETF / KOSDAQ 150,,지수추종패시,국내주식밸류,ETF(KR),한국,KRW,[],,229200,229200,80,글로벌 대표 ETF (KOSDAQ 150),2026-08-26T08:50:42.077439
091160,5.글로벌ETF,ETF,KODEX 반도체,ETF / KODEX 반도체,,섹터테마알파,국내주식밸류,ETF(KR),한국,KRW,[],,069500,091160,80,글로벌 대표 ETF (KODEX 반도체),2026-08-26T08:50:42.077439
091170,5.글로벌ETF,ETF,KODEX 은행,ETF / KODEX 은행,,섹터테마알파,국내주식밸류,ETF(KR),한국,KRW,[],,069500,091170,80,글로벌 대표 ETF (KODEX 은행),2026-08-26T08:50:42.077439
091180,5.글로벌ETF,ETF,KODEX 자동차,ETF / KODEX 자동차,,섹터테마알파,국내주식밸류,ETF(KR),한국,KRW,[],,069500,091180,80,글로벌 대표 ETF (KODEX 자동차),2026-08-26T08:50:42.077439
1차 비철금속 제조업,3.KSIC산업,철강금속,1차 비철금속 제조업,철강금속 / 1차 비철금속 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,139240,50,KRX KSIC 공식 산업분류 (1차 비철금속 제조업),2026-08-26T08:50:42.077439
1차 철강 제조업,3.KSIC산업,철강금속,1차 철강 제조업,철강금속 / 1차 철강 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,139240,50,KRX KSIC 공식 산업분류 (1차 철강 제조업),2026-08-26T08:50:42.077439
가구 제조업,3.KSIC산업,자유소비재,가구 제조업,자유소비재 / 가구 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (가구 제조업),2026-08-26T08:50:42.077439
가전제품 및 정보통신장비 소매업,3.KSIC산업,전기전자,가전제품 및 정보통신장비 소매업,전기전자 / 가전제품 및 정보통신장비 소매업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,102960,50,KRX KSIC 공식 산업분류 (가전제품 및 정보통신장비 소매업),2026-08-26T08:50:42.077439
가정용 기기 제조업,3.KSIC산업,제조업,가정용 기기 제조업,제조업 / 가정용 기기 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (가정용 기기 제조업),2026-08-26T08:50:42.077439
"가죽, 가방 및 유사제품 제조업",3.KSIC산업,제조업,"가죽, 가방 및 유사제품 제조업","제조업 / 가죽, 가방 및 유사제품 제조업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (가죽, 가방 및 유사제품 제조업)",2026-08-26T08:50:42.077439
개인 및 가정용품 수리업,3.KSIC산업,제조업,개인 및 가정용품 수리업,제조업 / 개인 및 가정용품 수리업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (개인 및 가정용품 수리업),2026-08-26T08:50:42.077439
개인 및 가정용품 임대업,3.KSIC산업,제조업,개인 및 가정용품 임대업,제조업 / 개인 및 가정용품 임대업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (개인 및 가정용품 임대업),2026-08-26T08:50:42.077439
건물 건설업,3.KSIC산업,제조업,건물 건설업,제조업 / 건물 건설업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,117700,50,KRX KSIC 공식 산업분류 (건물 건설업),2026-08-26T08:50:42.077439
건물설비 설치 공사업,3.KSIC산업,제조업,건물설비 설치 공사업,제조업 / 건물설비 설치 공사업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (건물설비 설치 공사업),2026-08-26T08:50:42.077439
"건축기술, 엔지니어링 및 관련 기술 서비스업",3.KSIC산업,제조업,"건축기술, 엔지니어링 및 관련 기술 서비스업","제조업 / 건축기술, 엔지니어링 및 관련 기술 서비스업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,117700,50,"KRX KSIC 공식 산업분류 (건축기술, 엔지니어링 및 관련 기술 서비스업)",2026-08-26T08:50:42.077439
"건축자재, 철물 및 난방장치 도매업",3.KSIC산업,제조업,"건축자재, 철물 및 난방장치 도매업","제조업 / 건축자재, 철물 및 난방장치 도매업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,117700,50,"KRX KSIC 공식 산업분류 (건축자재, 철물 및 난방장치 도매업)",2026-08-26T08:50:42.077439
"경비, 경호 및 탐정업",3.KSIC산업,제조업,"경비, 경호 및 탐정업","제조업 / 경비, 경호 및 탐정업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (경비, 경호 및 탐정업)",2026-08-26T08:50:42.077439
고무제품 제조업,3.KSIC산업,화학소재,고무제품 제조업,화학소재 / 고무제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (고무제품 제조업),2026-08-26T08:50:42.077439
"곡물가공품, 전분 및 전분제품 제조업",3.KSIC산업,제조업,"곡물가공품, 전분 및 전분제품 제조업","제조업 / 곡물가공품, 전분 및 전분제품 제조업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (곡물가공품, 전분 및 전분제품 제조업)",2026-08-26T08:50:42.077439
"골판지, 종이 상자 및 종이용기 제조업",3.KSIC산업,제조업,"골판지, 종이 상자 및 종이용기 제조업","제조업 / 골판지, 종이 상자 및 종이용기 제조업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (골판지, 종이 상자 및 종이용기 제조업)",2026-08-26T08:50:42.077439
"과실, 채소 가공 및 저장 처리업",3.KSIC산업,제조업,"과실, 채소 가공 및 저장 처리업","제조업 / 과실, 채소 가공 및 저장 처리업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (과실, 채소 가공 및 저장 처리업)",2026-08-26T08:50:42.077439
광고업,3.KSIC산업,제조업,광고업,제조업 / 광고업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (광고업),2026-08-26T08:50:42.077439
교육지원 서비스업,3.KSIC산업,제조업,교육지원 서비스업,제조업 / 교육지원 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (교육지원 서비스업),2026-08-26T08:50:42.077439
"구조용 금속제품, 탱크 및 증기발생기 제조업",3.KSIC산업,철강금속,"구조용 금속제품, 탱크 및 증기발생기 제조업","철강금속 / 구조용 금속제품, 탱크 및 증기발생기 제조업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (구조용 금속제품, 탱크 및 증기발생기 제조업)",2026-08-26T08:50:42.077439
귀금속 및 장신용품 제조업,3.KSIC산업,철강금속,귀금속 및 장신용품 제조업,철강금속 / 귀금속 및 장신용품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (귀금속 및 장신용품 제조업),2026-08-26T08:50:42.077439
그외 기타 개인 서비스업,3.KSIC산업,제조업,그외 기타 개인 서비스업,제조업 / 그외 기타 개인 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (그외 기타 개인 서비스업),2026-08-26T08:50:42.077439
그외 기타 운송장비 제조업,3.KSIC산업,운수장비,그외 기타 운송장비 제조업,운수장비 / 그외 기타 운송장비 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,228800,50,KRX KSIC 공식 산업분류 (그외 기타 운송장비 제조업),2026-08-26T08:50:42.077439
"그외 기타 전문, 과학 및 기술 서비스업",3.KSIC산업,제조업,"그외 기타 전문, 과학 및 기술 서비스업","제조업 / 그외 기타 전문, 과학 및 기술 서비스업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (그외 기타 전문, 과학 및 기술 서비스업)",2026-08-26T08:50:42.077439
그외 기타 제품 제조업,3.KSIC산업,제조업,그외 기타 제품 제조업,제조업 / 그외 기타 제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (그외 기타 제품 제조업),2026-08-26T08:50:42.077439
금속 주조업,3.KSIC산업,철강금속,금속 주조업,철강금속 / 금속 주조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (금속 주조업),2026-08-26T08:50:42.077439
금융 지원 서비스업,3.KSIC산업,금융,금융 지원 서비스업,금융 / 금융 지원 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091170,50,KRX KSIC 공식 산업분류 (금융 지원 서비스업),2026-08-26T08:50:42.077439
기계장비 및 관련 물품 도매업,3.KSIC산업,산업재,기계장비 및 관련 물품 도매업,산업재 / 기계장비 및 관련 물품 도매업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기계장비 및 관련 물품 도매업),2026-08-26T08:50:42.077439
기록매체 복제업,3.KSIC산업,제조업,기록매체 복제업,제조업 / 기록매체 복제업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기록매체 복제업),2026-08-26T08:50:42.077439
기반조성 및 시설물 축조관련 전문공사업,3.KSIC산업,제조업,기반조성 및 시설물 축조관련 전문공사업,제조업 / 기반조성 및 시설물 축조관련 전문공사업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기반조성 및 시설물 축조관련 전문공사업),2026-08-26T08:50:42.077439
기초 의약물질 제조업,3.KSIC산업,제약바이오,기초 의약물질 제조업,제약바이오 / 기초 의약물질 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기초 의약물질 제조업),2026-08-26T08:50:42.077439
기초 화학물질 제조업,3.KSIC산업,화학소재,기초 화학물질 제조업,화학소재 / 기초 화학물질 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,117460,50,KRX KSIC 공식 산업분류 (기초 화학물질 제조업),2026-08-26T08:50:42.077439
기타 과학기술 서비스업,3.KSIC산업,제조업,기타 과학기술 서비스업,제조업 / 기타 과학기술 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 과학기술 서비스업),2026-08-26T08:50:42.077439
기타 교육기관,3.KSIC산업,제조업,기타 교육기관,제조업 / 기타 교육기관,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 교육기관),2026-08-26T08:50:42.077439
기타 금속 가공제품 제조업,3.KSIC산업,철강금속,기타 금속 가공제품 제조업,철강금속 / 기타 금속 가공제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 금속 가공제품 제조업),2026-08-26T08:50:42.077439
기타 금융업,3.KSIC산업,금융,기타 금융업,금융 / 기타 금융업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091170,50,KRX KSIC 공식 산업분류 (기타 금융업),2026-08-26T08:50:42.077439
기타 비금속 광물제품 제조업,3.KSIC산업,철강금속,기타 비금속 광물제품 제조업,철강금속 / 기타 비금속 광물제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 비금속 광물제품 제조업),2026-08-26T08:50:42.077439
기타 사업지원 서비스업,3.KSIC산업,제조업,기타 사업지원 서비스업,제조업 / 기타 사업지원 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 사업지원 서비스업),2026-08-26T08:50:42.077439
기타 상품 전문 소매업,3.KSIC산업,제조업,기타 상품 전문 소매업,제조업 / 기타 상품 전문 소매업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 상품 전문 소매업),2026-08-26T08:50:42.077439
기타 생활용품 소매업,3.KSIC산업,제조업,기타 생활용품 소매업,제조업 / 기타 생활용품 소매업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 생활용품 소매업),2026-08-26T08:50:42.077439
기타 섬유제품 제조업,3.KSIC산업,필수소비재,기타 섬유제품 제조업,필수소비재 / 기타 섬유제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 섬유제품 제조업),2026-08-26T08:50:42.077439
기타 식품 제조업,3.KSIC산업,필수소비재,기타 식품 제조업,필수소비재 / 기타 식품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 식품 제조업),2026-08-26T08:50:42.077439
기타 운송관련 서비스업,3.KSIC산업,운수장비,기타 운송관련 서비스업,운수장비 / 기타 운송관련 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,228800,50,KRX KSIC 공식 산업분류 (기타 운송관련 서비스업),2026-08-26T08:50:42.077439
기타 전기장비 제조업,3.KSIC산업,전기전자,기타 전기장비 제조업,전기전자 / 기타 전기장비 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 전기장비 제조업),2026-08-26T08:50:42.077439
기타 전문 도매업,3.KSIC산업,제조업,기타 전문 도매업,제조업 / 기타 전문 도매업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 전문 도매업),2026-08-26T08:50:42.077439
기타 전문 서비스업,3.KSIC산업,제조업,기타 전문 서비스업,제조업 / 기타 전문 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 전문 서비스업),2026-08-26T08:50:42.077439
기타 정보 서비스업,3.KSIC산업,IT서비스,기타 정보 서비스업,IT서비스 / 기타 정보 서비스업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 정보 서비스업),2026-08-26T08:50:42.077439
기타 종이 및 판지 제품 제조업,3.KSIC산업,제조업,기타 종이 및 판지 제품 제조업,제조업 / 기타 종이 및 판지 제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (기타 종이 및 판지 제품 제조업),2026-08-26T08:50:42.077439
기타 화학제품 제조업,3.KSIC산업,화학소재,기타 화학제품 제조업,화학소재 / 기타 화학제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,117460,50,KRX KSIC 공식 산업분류 (기타 화학제품 제조업),2026-08-26T08:50:42.077439
나무제품 제조업,3.KSIC산업,제조업,나무제품 제조업,제조업 / 나무제품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (나무제품 제조업),2026-08-26T08:50:42.077439
"내화, 비내화 요업제품 제조업",3.KSIC산업,제조업,"내화, 비내화 요업제품 제조업","제조업 / 내화, 비내화 요업제품 제조업",,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,"KRX KSIC 공식 산업분류 (내화, 비내화 요업제품 제조업)",2026-08-26T08:50:42.077439
담배 제조업,3.KSIC산업,필수소비재,담배 제조업,필수소비재 / 담배 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (담배 제조업),2026-08-26T08:50:42.077439
도로 화물 운송업,3.KSIC산업,운수장비,도로 화물 운송업,운수장비 / 도로 화물 운송업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,228800,50,KRX KSIC 공식 산업분류 (도로 화물 운송업),2026-08-26T08:50:42.077439
도시락 및 식사용 조리식품 제조업,3.KSIC산업,필수소비재,도시락 및 식사용 조리식품 제조업,필수소비재 / 도시락 및 식사용 조리식품 제조업,,개별기업주식,국내주식밸류,KOSPI,한국,KRW,[],,069500,091160,50,KRX KSIC 공식 산업분류 (도시락 및 식사용 조리식품 제조업),2026-08-26T08:50:42.077439
